Section ID,Category Name,Section Style Name,Description & Layout Hierarchy,Background Elements,Typography & Spacing Specs,Motion & Animation Mechanics,Helpful Tags & Comments,Sample Sections / Use Cases
HERO-01,Hero Sections,Aurora Glow Floating App Hero,Centered text stack dropping into an overflowing web application browser mockup frame.,"Radial gradient blend of lavender `#DCD6FF`, violet `#E6E2FF`, and white. Concentrated color density.",Main title 64px extra-bold line-height 1.15. Sub-headline 16px slate max-width 680px. CTA button group gap 16px.,Ambient glow mesh cycles scale/rotation over 20s. Application browser mockup panel floats vertically 8px over 6s loop.,"hero-section, aurora-glow, saas-mockup, centered-hero",SaaS Main Landing Page Heroes, core digital product overviews.
HERO-02,Hero Sections,Isomorphic Tech Flow Blueprint Hero,Technical SaaS landing hero displaying automation logic streams over an engineering blueprint layer.,Clean stark white canvas sheet overlaid with a faint blue isometric micro-dot grid pattern `#E2E8F0`.,Main title H1 text 60px technical sans-serif. Blue phrase tracking highlight layer `#2563EB`. Input placeholder text 15px.,Logic schematic dashed layout paths execute continuous automated SVG dash-offset texturing flow animations.,"isometric-hero, tech-blueprint, saas-landing, workflow-visualization",AI tech landing heroes, automation platform product walk-through overviews.
HERO-03,Hero Sections,Radiant Gaming Hub Platform Hero,Modern gaming landing hero built around a central geometric network connection map and warm peach gradients.,Radial gradient mesh moving peach coral `#FF9F7D` outer parameters into bright white core folds.,Headline text 56px bold tracking. Inline brand circles diameter 32px embedded inside rows.,Concentric logic pipeline paths illuminate neon pulses sequentially outward from center node keys to outer hexagons.,"gaming-hero, glowing-gradient, integrated-icons, community-hub",Web3/Gaming dashboard landing pages, community network hubs.
B2B-81,B2B Corporate & Fintech Overviews,Wide Gradient Tech Directory Footer,Clean corporate directory footer closure layout focusing an email capture row and a large left-heavy brand logo mark.,Deep dark slate charcoal page canvas field. Low-contrast script typography design watermark 'VOXA'.,Upper row capture headline text 42px white. Directory menu link filters spacing 24px.,Directory menu link anchors execute immediate font color weight conversion from dark gray to solid white text lines on hover.,"minimalist-footer, giant-watermark-base, email-capture-form, horizontal",Flagship corporate footers, closure conversion landing fields, contact directory panels.
B2B-82,B2B Corporate & Fintech Overviews,Giant Chroma Wordmark Transition Banner,Ultra-minimalist branding transition banner designing giant gradient text block logos beside vertical resource link lists.,Solid deep dark slate charcoal horizontal strip ribbon background field. Diamond card icon mark.,Ribbon headline text 42px white. Sub-footer legal utility anchors spacing 16px.,Gradient text block logo performs an automated horizontal entry slide translation onto the stage track on load visibility.,"ribbon-banner, gradient-typography-logo, brutalist-text-cta, sub-footer",Bottom-of-page closure ribbons, agency portfolio base rows, creative transitions.
B2B-83,B2B Corporate & Fintech Overviews,Fine-Art Overlapping Canvas Hero,Editorial fine-art hero section layering raw canvas-filling background imagery behind three stacked painting frames.,Full-bleed background layout displaying a photorealistic oil painting of deep red and white roses.,Backdrop typography text 82px bold neon yellow. Classical museum artifact cells text 16px.,Oil painting background layer moves on a slow subtle scroll parallax interpolation while cards execute offsets on hover.,"fine-art-hero, overlapping-canvases, brutalist-yellow-type, baroque",Main heroes for art galleries, exhibition collection launches, portfolios.
B2B-84,B2B Corporate & Fintech Overviews,Full-Bleed Nature Retreat Hero (Var),Immersive eco-tourism hero section tracking an open navigation header above a modern A-frame glass cottage lake scene.,Full-bleed photographic background showcasing a luxury modern A-frame glass cottage along a lake reflect pool.,Main display headline 64px white sans-serif text. Description copy regular weight text layouts.,Lake reflection water area incorporates a subtle fluid simulation loop to replicate soft active water ripples continuously.,"full-bleed-nature, luxury-retreat, forest-cabin, centered-conversion",Flagship heroes for boutique hotels, nature retreats, architectural experience landings.
B2B-85,B2B Corporate & Fintech Overviews,Split Symmetrical Architecture Slider,Symmetrical real estate overview section distributing landscape cottage cards complete with property photo frames.,Solid clean off-white canvas layout backdrop canvas field with zero lines or gradients. White cards panels.,Split headline text 42px bold. Property data line specifications text layers 15px.,Slide controls shift the horizontal card rows smoothly along X-axis while cross-fading property metrics lines on click.,"property-slider, landscape-media-cards, symmetrical-alignment, travel",Vacation rental catalogs, real estate asset overviews, property listings.
B2B-86,B2B Corporate & Fintech Overviews,Blurred Instagram Grid Marquee (Var),Editorial social proof feed row mapping horizontal portrait photo cards above a heavily blurred forest panoramic backdrop.,Full-bleed background layout displaying a photorealistic heavily blurred panoramic texture pool.,Module title text 36px bold. Polaroid card account tag text layers 14px lowercase.,Polaroid card wrappers text lines translate vertically translateY(-8px) while shifting from muted to high-contrast colors.,"social-proof-feed, polaroid-cards, blurred-nature-backdrop, lifestyle",Mid-page social proof ribbons, Instagram integration feeds, culture walls.
B2B-87,B2B Corporate & Fintech Overviews,Asymmetrical Gallery Matrix (Var),Advanced information-dense amenities block pairing an extra-large text block left with three multi-scale layout cells right.,Pristine uniform off-white layout canvas layer with zero lines or gradients. Multi-scale cards.,Left title headline text 44px bold. Capsule button text layers 16px copper.,Move gestures across coordinates trigger independent horizontal and vertical translation float offsets across image cells.,"asymmetrical-gallery, multi-scale-cards, luxury-lifestyle, retreat",Boutique hotel amenities showcases, asset catalog overviews, experience designs.
B2B-88,B2B Corporate & Fintech Overviews,Vertical Index Property Switcher (Var),Advanced real estate switcher module balancing vertical text list options left with a large property showcase frame right.,Solid clean off-white canvas layout background layer. Showcase frame landscape portrait.,Main title display text 42px uppercase. Property details progress text layers regular weight.,Toggling vertical index text links instantly clears right-hand media pane and fades incoming property photo asset via sweep.,"vertical-index-switcher, property-showcase-frame, architectural-bento, clean",Vacation rental catalogs, real estate asset overviews, directory switchers.
B2B-89,B2B Corporate & Fintech Overviews,Property Recommendation Deck Split (Var),Structured conversion module splitting a giant uppercase headline above a horizontal row of two property cards.,Solid pristine off-white canvas layout background layer. Photo cards full portrait frames.,Section title heading text 44px uppercase. Property details text layers regular font weights.,Hover actions over individual horizontal card containers prompt a subtle container elevation change via drop shadow manipulation.,"recommendation-deck, landscape-property-cards, symmetrical-alignment, travel",Product recommendation sliders, cross-selling real estate blocks, catalogs.
B2B-90,B2B Corporate & Fintech Overviews,Immersive Dark Interior Hero (Var),Luxury hospitality hero overlaying a brutalist fireplace text headline onto a full-bleed dark concrete living lounge scene.,Full-bleed photographic background displaying an industrial dark concrete interior lounge fireplace setup.,Fireplace text headline 88px uppercase tracking. Booking scheduler text layers regular weight.,Fireplace mantle area incorporates a highly realistic particle lighting mesh simulation to replicate live flickering flame.,"dark-interior-hero, brutalist-text-overlay, booking-scheduler-baseline, luxury",Principal landing heroes for luxury boutique hotels, luxury villa bookings.
B2B-91,B2B Corporate & Fintech Overviews,Close-Up Culinary Feature Block,Editorial 2-column feature block section pairing culinary plate closeups right with an asymmetrical text summary block left.,Pristine uniform off-white sheet layout canvas layer. Culinary plate closeups portrait frame.,Left title main text 42px uppercase bold text rows. Baseline description copy regular weight.,Inset viewport visibility prompts the handheld chopstick graphic to translate smoothly downwards along the Y-axis onto plate.,"split-media-layout, culinary-closeup, gourmet-branding, clean-corporate",Luxury dining overviews, resort amenities breakdowns, gourmet catalog main frames.
B2B-92,B2B Corporate & Fintech Overviews,Deep Foggy-Forest Closure Banner,Corporate closure conversion footer component designing a capsule conversion card over panoramic misty forest tree lines.,Full-bleed photographic canvas displaying dense green pine valleys covered in thick rolling fog banks.,Banner main title text 54px uppercase dark. Description copy lines text 14px regular.,Panoramic forest background layer incorporates a slow automated horizontal keyframe opacity shimmer loop animation pattern.,"foggy-forest-canvas, panoramic-misty-valley, capsule-conversion-cta, closure",Eco-resort base closures, main closing conversion modules, travel closures.
B2B-93,B2B Corporate & Fintech Overviews,Editorial Property Description Stack (Var),Hospitality process layout splitting vertical text columns left and asymmetrical landscape photo gallery tracks right.,Solid clean off-white canvas layout background #FFFFFF. Gallery cards rounded 16px.,Upper headline text 48px uppercase. Column feature list check metrics.,Gallery row track entry coordinates translate horizontal card panels smoothly along X-axis while cross-fading inner photos.,"split-header-matrix, asymmetrical-gallery-slider, two-column-copy-block, travel",Main property specification walkthrough modules, real estate about-page blocks.
B2B-94,B2B Corporate & Fintech Overviews,Multi-Tabbed Category Amenity Grid (Var),Symmetrical capabilities grid row layout aligning four portrait photo panels below top horizontal filter links.,Solid clean off-white canvas layout backdrop canvas field background sheets #FFFFFF. Photo cards rounded.,Section title heading text 42px uppercase bold. Link filter text layers 20px regular weights.,Toggling separate filter menu headers instantly clears core grid panel and fades incoming amenity photo frames via curves.,"category-filter-bar, amenities-grid, symmetrical-alignment, b2b-corporate",Property amenities showcases, e-commerce catalog main frames, portfolio grids.
B2B-95,B2B Corporate & Fintech Overviews,Editorial Museum Exhibition Banner (Var),High-impact brutalist portal stacking a floating text card over a fanned horizontal marquee row of artwork cards.,Clean solid white background layer layout canvas. Artwork ribbon cards rounded 16px.,Marquee background text 82px bold. Exhibition card sub-caption text layers 14px regular weight.,Hover actions over narrow column strips smoothly expand horizontal layout width proportions while compressing adjacent fields.,"brutalist-text-marquee, overlapping-canvases, vertical-accordion-grid, history",Main heroes for art galleries, exhibition collection launches, timelines.
B2B-96,B2B Corporate & Fintech Overviews,Fine-Art Chronological Flagship Hero (Var),Immersive art museum hero section tracking an open navigation top-bar above a multi-layered cascade of portrait art frames.,Clean white sheet layout canvas backdrop layer. Portrait art cells feature index paths '01'.,Main display headline 64px bold, cursive text script logo overlay 'of' in rich coral tone.,Move gestures or page scroll sequences trigger independent horizontal and vertical translation float offsets across layers.,"fine-art-hero, cursive-typography-overlay, overlapping-media-cards, alignment",Principal landing heroes for art institutions, digital portfolio indices.
B2B-97,B2B Corporate & Fintech Overviews,Asymmetrical Property Experience Grid (Var),Advanced information-dense real estate features listing pairing an asymmetrical uppercase display title left with cards right,Solid pristine off-white canvas layout background layer. Photo cards horizontal card rows.,Section title heading text 42px uppercase. Property details text layers regular font weights.,Hover actions over individual gallery card containers prompt a subtle vertical translation lift alongside an active scale.,"asymmetrical-gallery-matrix, multi-scale-cards, luxury-lifestyle, onboarding",Boutique hotel amenities showcases, asset catalog overviews, experience designs.
B2B-98,B2B Corporate & Fintech Overviews,Wireframe Directory Matrix Footer (Var),Minimalist corporate footer layout managing text row marquee cells over a wireframe grid matrix track.,Pristine uniform white canvas base layer #FFFFFF bordered by gray vertical layout lines.,Module main heading text 42px bold. Cell index tag text layers 14px regular tracking fields.,Hover actions over individual directory anchors prompt an immediate typography color conversion from dark gray to black text.,"wireline-grid-dividers, minimal-directory, brutalist-text-marquee, sub-footer",Baseline corporate footers, agency conversion closure folds, contact layouts.
B2B-99,B2B Corporate & Fintech Overviews,Milestone Checklist Accordion Panel (Var),Educational 2-column feature walkthrough coordinating a vertical checklist timeline left with horizontal options right.,Solid clean off-white canvas layout field paneling with zero structural lines or gradients.,Two-row headline 38px uppercase bold. Active choice card features top absolute green badge.,Checklist circle nodes illuminate sequentially downwards along the vertical dashed tracking wireline track on view entry.,"milestone-checklist, horizontal-accordion-stack, overlapping-badge, travel",Property onboarding lists, tactical feature summary blocks, company charts.
B2B-100,B2B Corporate & Fintech Overviews,Advanced Booking Scheduler Stage (Var),Advanced user booking scheduler stage balancing interactive dropdown fields left with showcase photo frames center.,Pristine uniform off-white layout canvas layer #FFFFFF. Summary conversion card panel white text layers.,Step timeline progress title text 16px. Statistical numeric layout text 44px regular black.,Mouse click entries into individual form dropdown field lines toggle border stroke properties into dark-teal active states.,"booking-scheduler-stage, step-progression-baseline, horizontal-split-pane, checkout",User portal registration sign-on gates, client booking calendars gateways.
B2B-101,B2B Corporate & Fintech Overviews,Minimal Balanced Text Statement Block (Var),Typographic capability statement module featuring large regular gray text strings overlaid with copper accent text nodes.,Solid clean off-white canvas layout field paneling with zero structural lines or gradients.,Main display typography block 38px bold. Statement highlight phrase text layers bold regular.,Hovering individual cursor coordinates over the highlighted statement text triggers an immediate typography font weight shift.,"capabilities-statement, copper-accent-type, two-column-copy-block, clean",Company core mission statements, agency capability overviews, feature summary blocks.
B2B-102,B2B Corporate & Fintech Overviews,Advanced Booking Scheduler Stage (Var 2),Advanced user booking scheduler stage balancing vertical list options left with horizontal selection bento cards center.,Pristine uniform off-white layout canvas layer #FFFFFF. Summary conversion card panel white text layers.,Step timeline progress title text 16px. Statistical numeric layout text 44px regular black.,Hovering over individual horizontal resource cards smoothly elevates the target container wrapper and expands drop shadow.,"booking-scheduler-stage, step-progression-baseline, bento-cards-stack, fintech",Technical marketing documentation indices, product guide libraries, client booking calendars.
B2B-103,B2B Corporate & Fintech Overviews,Minimalist Split-Pane Core Metrics Row,Lightweight metrics section row layout tracking three oversized copper data numbers below left vertical title stacks.,Solid pristine off-white canvas layout backdrop canvas field background sheets #F9F9F9.,Section title headline 42px bold. Card statistical values text 54px regular tracking.,Baseline odometer counters execute automated staggered entry animations, sliding upwards into row layout with a smooth curve.,"metrics-panel-row, copper-accent-type, symmetrical-alignment, social-proof",Core platform success statistics, travel booking summaries, company scale indicators.
B2B-104,B2B Corporate & Fintech Overviews,Dual-Month Interactive Booking Calendar,Advanced real estate switcher module balancing vertical text list options left with a large property showcase frame right.,Solid clean off-white canvas layout background layer. Showcase frame landscape portrait.,Main title display text 42px uppercase. Property details progress text layers regular weight.,Toggling vertical index text links instantly clears right-hand media pane and fades incoming property photo asset via sweep.,"vertical-index-switcher, property-showcase-frame, architectural-bento, clean",Vacation rental catalogs, real estate asset overviews, directory switchers.
B2B-105,B2B Corporate & Fintech Overviews,Asymmetrical Info-Card Gallery Matrix,Asymmetrical 2-column feature split coordinating vertical bento cards with a landscape lifestyle photography frame right.,Solid clean off-white canvas layout backdrop canvas field background textures. Bento cards white box.,Section title main text 42px uppercase bold. Card subtitle headers 22px bold text layers.,Hover actions over individual horizontal text cards smoothly elevate the target container wrapper and expand drop shadows.,"asymmetrical-gallery-matrix, multi-scale-cards, lifestyle-photography, clean",Corporate policy deep-dives, regulatory phase checklists, product guide libraries.
B2B-106,B2B Corporate & Fintech Overviews,Deep Misty-Forest Directory Footer,Corporate directory footer layout managing text row marquee cells over an engineering coordinate backdrop.,Solid deep charcoal black horizontal strip ribbon footer layer. Deep green pine valley tree lines.,Main headline 64px white, directory column link headers bold white text 16px. Sub-link grey.,Directory link anchors execute immediate font color weight conversion from dark gray to solid white text lines on hover.,"misty-forest-footer, panoramic-valley-backdrop, directory-link-grid, utility",Eco-resort base cookies, main closing conversion modules, legal directory baselines.
B2B-107,B2B Corporate & Fintech Overviews,Full-Width Centered FAQ Accordion,Constrained central FAQ interface designing text accordion rows over an engineering coordinate backdrop.,Solid clean off-white canvas layout backdrop canvas field with zero structural lines or gradients.,Section main heading text 44px bold uppercase text. Accordion question row titles text 20px.,Accordion expansion row toggle events trigger height layout shifts from 0 to 1fr via smooth max-height interpolation.,"accordion-stack-faq, horizontal-rows, clean-alignment, travel-conversion",FAQ panels, core product feature specifications documentation blocks, tutorial sheets.
B2B-108,B2B Corporate & Fintech Overviews,Minimal Product Landing Hero (NEURA),Smart ring hero section centering an extra-large 3D ring asset inside a giant background wordmark backdrop.,Crisp white canvas sheet backdrop layer. Left and right margins anchor low-contrast rock cliff textures.,Background typography text 140px condensed. Main title text 56px white text layers.,Central smart ring asset executes an automated continuous keyframe floating layout translation and center axial rotation.,"3d-hardware-render, smart-ring-asset, watermark-backdrop, fintech-metric",Flagship luxury product heroes, premium consumer tech landing overviews, e-commerce.
B2B-109,B2B Corporate & Fintech Overviews,Macro Multi-Scale Hardware Bento Matrix,Clinical capabilities grid row aligning five vertical rectangle cards filled with pastel panels and 3D objects.,Solid clean off-white canvas layout backdrop canvas field background sheets #FFFFFF. Macro focus paths.,Main title heading text 42px bold black. Card subtitle headers 20px. Action capsule button.,Hover vectors over card modules trigger an asymmetrical vertical translation lift translateY(-8px) and interior photo scale.,"division-grid, pastel-cards, 3d-geometric-objects, staggered-alignment",Educational category overviews, e-commerce division matrices, portfolio classification selectors.
B2B-110,B2B Corporate & Fintech Overviews,Technical Cross-Section Dashboard Block,Advanced product presentation layout module matching a top horizontal data matrix with an extra-large 3D ring asset.,Pristine uniform off-width canvas layout sheet bordered by sharp horizontal dividing lines.,Column data list text headers text 16px. Callout window text layers 22px bold white text rows.,Viewport ring asset intersection visibility prompts numerical values inside tags to execute a rapid digital odometer count.,"cross-section-dashboard, floating-metric-tags, smart-ring-specs, data",Technical marketing documentation indices, product guide libraries, features walkthroughs.
B2B-111,B2B Corporate & Fintech Overviews,3D Exploded-View Component Assembly Hero,Technology landing hero centering an exploded-view component assembly mapping out hardware layers across wire points.,Clean, solid white background layer layout canvas #FFFFFF. Component files absolute landscape.,Main section heading text 44px centered. Component list labels text 16px regular weight.,Move gestures or page scroll sequences trigger an automated continuous horizontal expansion transition across component files.,"exploded-view-assembly, 3d-component-cascade, hardware-blueprint, hero",Flagship hardware product heroes, engineering component walkthrough overviews.
B2B-112,B2B Corporate & Fintech Overviews,Progressive Path-Morph Transform Rig,"A single SVG asset built from N parallel strand-paths, each sharing one ordered point-set across two named states (coiled/assembled vs. straight/exploded); a shared progress value (0 to 1) is lerped per-point and redrawn every frame, so the asset visibly reconfigures between states rather than cross-fading between two images.","Sits inside a bordered rounded card on the page's own base surface; an optional soft radial glow, color-matched to the asset, sits behind it at low opacity.","Asset fills a fixed-aspect stage with no intrinsic text; step labels or a state caption sit below in the project's mono/label face, 11 to 13px, uppercase, wide tracking.","One motion value drives every strand via per-frame recomputation, never a CSS cross-fade between pre-rendered states: ambient looping (0 to 1 to 0 with pauses) for atmosphere, spring-to-step-target for an interactive walkthrough, or held static per variant with a separate shimmer-sweep on swap.","path-morph-rig, dual-state-svg, progress-driven, transformation-story, step-walkthrough-stage -- reuse across a hero (ambient), a walkthrough (interaction-triggered) and a variant picker (static) on one page without it reading as a repeated signature move, since each use has a different trigger and narrative job; only reach for it when the product has a literal two-state physical story.","Convertible or modular hardware heroes, before/after physical-product transformations, wearable-to-tool product demos, assembly or disassembly instructions, packable/foldable gear showcases."
